WilsonReederName;Body mass species mean
Allenopithecus_nigroviridis;4,655
Cercocebus_atys;8,600
Cercocebus_torquatus;7,485
Cercopithecus_ascanius;3,714
Cercopithecus_cephus_cephus;3,585
Cercopithecus_erythrotis;3,250
Cercopithecus_petaurista;3,609
Cercopithecus_diana;4,550
Cercopithecus_lhoesti;4,710
Cercopithecus_albogularis;5,620
Cercopithecus_mitis;6,109
Cercopithecus_nictitans;5,465
Cercopithecus_campbelli;3,600
Cercopithecus_lowei;3,187
Cercopithecus_mona;3,719
Cercopithecus_pogonias;3,580
Cercopithecus_neglectus;5,450
Cercopithecus_wolfi;3,390
Chlorocebus_aethiops;3,720
Chlorocebus_pygerythrus;4,324
Chlorocebus_sabaeus;4,312
Erythrocebus_patas;9,450
Lophocebus_albigena;6,950
Lophocebus_aterrimus;6,800
Macaca_arctoides;10,300
Macaca_fascicularis;4,251
Macaca_fuscata;9,515
Macaca_mulatta;6,793
Macaca_leonina;5,642
Macaca_nemestrina;8,821
Macaca_nigra;7,680
Macaca_silenus;7,500
Macaca_radiata;5,084
Macaca_sylvanus;12,078
Mandrillus_sphinx;23,600
Miopithecus_ogouensis;1,750
Papio_anubis;18,150
Papio_cynocephalus;17,150
Papio_hamadryas;14,150
Papio_ursinus;22,300
Theropithecus_gelada;15,350
Colobus_angolensis;8,625
Colobus_guereza;8,589
Colobus_polykomos;9,100
Colobus_vellerosus;7,820
Colobus_satanas;8,910
Nasalis_larvatus;14,561
Piliocolobus_badius;8,285
Piliocolobus_kirkii;5,630
Presbytis_comata;6,695
Presbytis_thomasi;6,730
Presbytis_frontata;5,615
Presbytis_femoralis;6,848
Presbytis_melalophos;6,560
Presbytis_siamensis;5,876
Presbytis_rubicunda;6,266
Procolobus_verus;4,450
Pygathrix_sp.;9,720
Semnopithecus_dussumieri;10,664
Semnopithecus_priam;8,562
Simias_concolor;7,975
Trachypithecus_cristatus;6,394
Trachypithecus_obscurus;7,056
Trachypithecus_phayrei;7,475
Trachypithecus_geei;10,150
Trachypithecus_johnii;11,600
Trachypithecus_vetulus;6,237
Bunopithecus_hoolock;6,728
Hylobates_agilis;5,850
Hylobates_klossii;5,795
Hylobates_lar;5,595
Hylobates_muelleri;5,821
Hylobates_pileatus;5,470
Nomascus_gabriellae;7,365
Symphalangus_syndactylus;11,295
Gorilla_beringei_graueri;130,000
Gorilla_gorilla_gorilla;120,950
Pan_paniscus;39,100
Pan_troglodytes;44,967
Pongo_abelii;62,815
Pongo_pygmaeus;58,542
Aotus_lemurinus;0,734
Aotus_trivirgatus;0,989
Aotus_azarae;1,205
Alouatta_caraya;5,383
Alouatta_palliata;6,250
Alouatta_pigra;8,915
Alouatta_belzebul;6,395
Alouatta_guariba;5,175
Alouatta_seniculus;5,950
Ateles_belzebuth;8,167
Ateles_hybridus;7,862
Ateles_fusciceps;9,025
Ateles_geoffroyi;7,535
Ateles_paniscus;8,280
Brachyteles_sp.;8,840
Lagothrix_cana;8,215
Lagothrix_lagotricha;7,150
Callimico_goeldii;0,484
Callithrix_jacchus;0,320
Callithrix_penicillata;0,328
Callithrix_pygmaea;0,116
Callithrix_argentata;0,345
Leontopithecus_rosalia;0,609
Saguinus_midas;0,563
Saguinus_niger;0,375
Saguinus_mystax;0,584
Saguinus_fuscicollis;0,401
Saguinus_nigricollis;0,476
Saguinus_geoffroyi;0,517
Saguinus_leucopus;0,525
Saguinus_oedipus;0,431
Cebus_apella;2,936
Cebus_libidinosus;2,510
Cebus_nigritus;2,731
Cebus_xanthosternos;2,440
Cebus_albifrons;2,735
Cebus_capucinus;2,861
Cebus_olivaceus;2,931
Saimiri_oerstedii;0,789
Saimiri_sciureus;0,799
Callicebus_caligatus;0,880
Callicebus_discolor;0,875
Callicebus_lugens;1,090
Callicebus_medemi;1,157
Cacajao_calvus;3,165
Cacajao_melanocephalus;2,935
Chiropotes_chiropotes;2,740
Chiropotes_israelita;2,274
Pithecia_monachus;2,360
Pithecia_pithecia;1,760
Tarsius_bancanus;0,126
Tarsius_tarsier;0,117
Tarsius_syrichta;0,126
Daubentonia_madagascariensis;2,555
Cheirogaleus_medius;0,140
Cheirogaleus_major;0,400
Microcebus_murinus;0,065
Microcebus_rufus;0,043
Mirza_coquereli;0,312
Phaner_pallescens;0,339
Avahi_laniger;1,207
Indri_indri;6,335
Propithecus_diadema;6,130
Propithecus_edwardsi;5,682
Propithecus_deckenii;3,532
Propithecus_verreauxi;2,955
Eulemur_coronatus;1,180
Eulemur_fulvus;2,292
Eulemur_rufus;2,220
Eulemur_macaco;2,390
Eulemur_mongoz;1,212
Eulemur_rubriventer;1,960
Hapalemur_griseus;0,709
Lemur_catta;2,210
Varecia_variegata_variegata;3,575
Lepilemur_leucopus;0,606
Lepilemur_mustelinus;0,777
Euoticus_elegantulus;0,274
Euoticus_pallidus;0,300
Galago_cameronensis;0,252
Galago_gabonensis;0,273
Galago_demidoff;0,075
Galago_moholi;0,148
Galago_senegalensis;0,194
Galago_zanzibaricus;0,143
Otolemur_crassicaudatus;1,150
Otolemur_garnettii;0,764
Arctocebus_aureus;0,210
Arctocebus_calabarensis;0,309
Loris_lydekkerianus;0,267
Loris_tardigradus;0,193
Nycticebus_bengalensis;1,060
Nycticebus_coucang;0,653
Nycticebus_pygmaeus;0,307
Perodicticus_potto;0,835
Macaca_assamensis;9,100
Macaca_sinica;4,440
Papio_papio;NA
Piliocolobus_tephrosceles;8,409
Presbytis_chrysomelas;6,719
Cercopithecus_hamlyni;4,425
Presbytis_natunae;NA
Rhinopithecus_roxellana;14,750
Mandrillus_leucophaeus;15,000
Piliocolobus_tholloni and foai;NA
Alouatta_sara;NA
Chiropotes_satanas;3,030
Cercocebus_agilis;7,580
Cercocebus_chrysogaster;NA
Cercocebus_galeritus;7,435
Cercopithecus_doggetti;6,350
Macaca_cyclopis;5,470
Macaca_ochreata;3,400
Pygathrix_nemaeus;9,720
Pygathrix_nigripes;NA
Semnopithecus_entellus;14,742
Semnopithecus_ajax;16,330
Semnopithecus_schistaceus;17,000
Trachypithecus_auratus;NA
Trachypithecus_germaini;NA
Trachypithecus_pileatus;11,794
Hylobates_moloch;NA
Aotus_vociferans;0,703
Aotus_nigriceps;0,958
Alouatta_macconnelli;NA
Ateles_chamek;9,370
Lagothrix_poeppigii;NA
Callithrix_aurita;0,429
Callithrix_humeralifera;0,370
Leontopithecus_chrysomelas;0,655
Saguinus_labiatus;0,520
Saguinus_pileatus;0,525
Saimiri_boliviensis;0,885
Callicebus_cupreus;1,070
Callicebus_regulus;NA
Callicebus_torquatus;1,245
Pithecia_irrorata;NA
Tarsius_dentatus;0,113
Cheirogaleus_adipicaudatus;NA
Cheirogaleus_sibreei;NA
Phaner_electromontis;NA
Avahi_occidentalis;0,801
Propithecus_coquereli;3,729
Eulemur_albifrons;2,336
Eulemur_albocollaris;2,140
Hapalemur_alaotrensis;1,240
Hapalemur_occidentalis;NA
Prolemur_simus;2,150
Varecia_rubra;3,470
Lepilemur_dorsalis;0,870
Lepilemur_edwardsi;0,931
Lepilemur_microdon;0,970
Lepilemur_ruficaudatus;0,805
Galago_thomasi;0,117
Galago_matschiei;0,210
Galago_orinus;NA
Galago_granti;NA
Otolemur_monteiri;1,319
Cercopithecus_petaurista_buettikoferi;3,650
Cercopithecus_petaurista_petaurista;3,357
Cercopithecus_albogularis_erythrarchus;7,751
Cercopithecus_albogularis_kibonotensis;5,494
Cercopithecus_albogularis_kolbi;5,159
Chlorocebus_pygerythrus_hilgerti;4,541
Chlorocebus_pygerythrus_nesiotes;2,804
Chlorocebus_pygerythrus_pygerythrus;4,678
Chlorocebus_pygerythrus_rufoviridis;4,550
Lophocebus_albigena_johnstoni;6,590
Macaca_fascicularis_aurea;4,309
Macaca_fascicularis_fascicularis;3,950
Macaca_fascicularis_fusca;5,018
Macaca_fascicularis_umbrosa;5,783
Macaca_mulatta_mulatta;6,540
Macaca_mulatta_villosa;7,836
Colobus_guereza_kikuyuensis;11,350
Colobus_guereza_matschiei;8,558
Colobus_guereza_occidentalis;8,287
Piliocolobus_badius_badius;7,850
Piliocolobus_badius_waldroni;5,900
Presbytis_femoralis_percura;7,073
Presbytis_femoralis_robinsoni;6,875
Presbytis_melalophos_melalophos;6,293
Presbytis_melalophos_sumatrana;6,749
Presbytis_siamensis_cana;6,320
Presbytis_siamensis_rhionis;5,292
Presbytis_rubicunda_carimatae;7,031
Presbytis_rubicunda_rubicunda;6,162
Hylobates_lar_carpenteri;5,513
Hylobates_lar_entelloides;6,420
Pan_troglodytes_schweinfurthii;38,200
Pan_troglodytes_troglodytes;52,750
Pan_troglodytes_verus;43,950
Pongo_pygmaeus_morio;53,529
Pongo_pygmaeus_pygmaeus;NA
Pongo_pygmaeus_wurmbii;61,463
Saguinus_fuscicollis_fuscus;0,438
Saguinus_fuscicollis_illigeri;0,294
Cebus_nigritus_nigritus;2,681
Cebus_nigritus_robustus;2,877
Cebus_albifrons_unicolor;NA
Cebus_albifrons_versicolor;2,365
Saimiri_sciureus_cassiquiarensis;0,838
Saimiri_sciureus_macrodon;0,824
Saimiri_sciureus_sciureus;0,735
Otolemur_garnettii_garnettii;NA
Otolemur_garnettii_lasiotis;NA
Otolemur_garnettii_panganiensis;1,169
Nycticebus_coucang_coucang;0,653
Nycticebus_coucang_menagensis;0,634
Perodicticus_potto_edwardsi;1,230
Perodicticus_potto_ibeanus;NA
Perodicticus_potto_potto;0,813
Homo_sapiens;65,000
