WilsonReederName;Hominoidea;Clade;MedianCerebellum;MedianCerebrum;MedianCrus;Body mass species mean;MedianCerebroCerebellar;MedianCerebellarCrus
Aotus_trivirgatus;Nonape;Cebidae;1626,5000000;11745,668950;216,50;0,989;13,84765743802100;13,3107900399631
Ateles_paniscus;Nonape;Atelidae;8903,1340385;77381,000000;NA;8,280;11,50558152324210;NA
Callithrix_penicillata;Nonape;Cebidae;484,8906250;3937,970947;NA;0,328;12,31320981099150;NA
Cebus_apella;Nonape;Cebidae;5190,5421720;36284,496090;1012,00;2,936;14,30512403734470;19,4969998598443
Cebus_capucinus;Nonape;Cebidae;4274,4640920;40050,730470;NA;2,861;10,67262454851300;NA
Cercocebus_atys;Nonape;Papionini;5362,4314410;51689,042970;NA;8,600;10,37440651418580;NA
Cercopithecus_cephus_cephus;Nonape;Cercopithecini;3697,2968750;41537,898440;NA;3,585;8,90102054715313;NA
Chlorocebus_sabaeus;Nonape;Cercopithecini;4169,0164970;53627,046880;505,00;4,312;7,77409299887221;12,1131686661205
Colobus_polykomos;Nonape;Colobinae;5787,0854260;40468,386720;842,00;9,100;14,30026224183520;14,5496383415578
Daubentonia_madagascariensis;Nonape;Lemuriformes;3032,4423090;17151,126950;374,00;2,555;17,68071752859370;12,3332931640613
Eulemur_mongoz;Nonape;Lemuriformes;3223,5573840;14495,492190;NA;1,212;22,23834376747710;NA
Galago_demidoff;Nonape;Galagonidae;320,5625000;1925,203247;NA;0,075;16,65083935940400;NA
Gorilla_beringei_graueri;Ape;Hominoidea;46163,1481300;272907,906300;NA;130,000;16,91528426415550;NA
Gorilla_gorilla_gorilla;Ape;Hominoidea;58402,1690700;237689,671900;13107,00;120,950;24,57076430925900;22,4426595941841
Homo_sapiens;Ape;Hominoidea;142171,0000000;1005711,437750;43726,00;65,000;14,13636105382950;30,7559206870600
Hylobates_lar;Ape;Hominoidea;8681,2906280;60685,457030;NA;5,595;14,30538889030430;NA
Lagothrix_lagotricha;Nonape;Atelidae;5595,2343750;49384,894530;873,75;7,150;11,32984980174670;15,6159678297658
Lemur_catta;Nonape;Lemuriformes;2035,2187500;12657,725590;NA;2,210;16,07886610852020;NA
Lepilemur_ruficaudatus;Nonape;Lemuriformes;882,2812500;4087,298828;NA;0,805;21,58592476664400;NA
Lophocebus_albigena;Nonape;Papionini;6320,4577530;49184,953130;NA;6,950;12,85038889087580;NA
Loris_tardigradus;Nonape;Loridae;446,6562500;3071,111084;NA;0,193;14,54379987513340;NA
Macaca_fascicularis;Nonape;Papionini;6636,5000000;46343,593750;NA;4,251;14,32021011534090;NA
Macaca_mulatta;Nonape;Papionini;10652,1237300;77682,492190;NA;6,793;13,71238670348840;NA
Microcebus_murinus;Nonape;Lemuriformes;169,8906250;809,311829;NA;0,065;20,99198589620520;NA
Mirza_coquereli;Nonape;Lemuriformes;883,8630399;3884,830322;NA;0,312;22,75165107970450;NA
Pan_paniscus;Ape;Hominoidea;48408,3783900;243035,609400;6627,00;39,100;19,91822453899220;13,6897789605962
Pan_troglodytes_troglodytes;Ape;Hominoidea;57047,0000000;284481,750000;15544,00;52,750;20,05295594532870;27,2477080302207
Papio_hamadryas;Nonape;Papionini;9478,2982070;89861,179690;1841,00;14,150;10,54771174794040;19,4233179817065
Pongo_pygmaeus;Ape;Hominoidea;25757,3323400;184458,296900;6081,00;58,542;13,96377000811400;23,6088113463384
Saguinus_oedipus;Nonape;Cebidae;750,0500112;6254,427246;NA;0,431;11,99230531748040;NA
Saimiri_sciureus;Nonape;Cebidae;920,0156250;8539,606201;103,00;0,799;10,77351347761520;11,1954620335932
Semnopithecus_entellus;Nonape;Colobinae;6748,5625000;49915,832030;NA;14,742;13,51988382352120;NA
Trachypithecus_(Trachypithecus)_germaini;Nonape;Colobinae;3756,0784480;37987,582030;NA;NA;9,88764813994664;NA
Varecia_variegata_variegata;Nonape;Lemuriformes;3376,9409010;16032,390630;NA;3,575;21,06323990560100;NA