species;ID;CerebellarVol;CerebralVol;n;CC
Cheirogaleus_major;111;947;4314;2;21,95178489
Cheirogaleus_medius;112;437;1941;2;22,51416795
Microcebus_murinus;114;234;1129;6;20,72630647
Lepilemur_ruficaudatus;117;1165;4708;3;24,7451147
Avahi_laniger;130;1489;6550;2;22,73282443
Avahi_occidentalis;131;1383;6026;2;22,95054763
Propithecus_verreauxi;132;3957;17040;2;23,22183099
Indri_indri;133;5504;25551;2;21,54123126
Daubentonia_madagascariensis;136;6461;30196;1;21,39687376
Loris_tardigradus;137;728;4551;1;15,99648429
Nycticebus_coucang;138;1310;8495;2;15,42083579
Perodicticus_potto;139;1699;9418;2;18,03992355
Otolemur_crassicaudatus;141;1414;6545;2;21,60427807
Galagoides_demidoff;142;413;2240;2;18,4375
Galago_senegalensis;143;672;2997;1;22,42242242
Callithrix_jacchus;151;757;5318;4;14,23467469
Saguinus_oedipus;164;984;7052;3;13,95348837
Callimico_goeldii;166;1240;7733;1;16,03517393
Aotus_trivirgatus;171;1873;12128;5;15,44360158
Ateles_geoffroyi;184;12438;79946;1;15,55800165
Lagothrix_lagotricha;186;11268;74822;3;15,05974179
Saimiri_sciureus;192;2260;17635;1;12,81542387
Macaca_mulatta;202;8965;71080;1;12,61254924
Papio_anubis;212;18683;154987;2;12,05455941
Cercopithecus_mitis;227;6758;56277;1;12,00845816
Cercopithecus_ascanius;231;5828;51279;1;11,36527623
Erythrocebus_patas;234;8738;84770;2;10,30789194
Pygathrix_nemaeus;242;8063;56189;1;14,34978377
Nasalis_larvatus;243;12113;70873;1;17,09113485
Piliocolobus_badius;246;8648;57885;2;14,93996718
Hylobates_lar;271;12078;76001;1;15,89189616
Pan_troglodytes_troglodytes;277;43663;313493;1;13,9279027
Gorilla_gorilla_gorilla;279;69249;369878;1;18,72211919
Homo_sapiens;280;137421;1063399;1;12,92280696