SpecimenID;CerebellarVol
ApelleCebusApell_f4b9;5190,542172
Atele_6717;9854,549019
AteleAtelesAter_7245;7951,719058
AyeAyeDaubentoni_cb56;3032,442309
ColobeColobusPol_6118;5787,085426
DouroucouliAotus_091c;1626,5
GalagoDemidoviiG_6cf3;320,5625
HurleurRouxAloua_47da;0
LangurIndienPith_8390;6748,5625
LemurMongosLemur_b941;3223,557384
LepilemurAQueueR_309f;882,28125
MakiCattaLemurCa_dec8;2035,21875
MangabeyCouronne_6b65;5362,431441
MarsousetOedipom_e834;750,0500112
MicrocebeDeCoque_e3a9;883,8630399
MicrocebeMignonM_ca6c;169,890625
MoustacLasiopygi_23cc;3697,296875
NycticebusTardig_08cb;446,65625
OuistitiAPinceau_b4aa;484,890625
PithecusGermaini_6a2c;3756,078448
SaimiriCassiquia_7176;882,9375
SaimiriCassiquia_eb44;957,09375
SingeLaineuxLago_0f84;5595,234375
VariNoirEtBlancL_4d0e;3376,940901
VervetCercopithe_72ae;4169,016497
BabouinCercopith_a723;9478,298207
MacacaFascicular_3a21;5732,172832
GorillaBeringeiG_0854;46163,14813
MangabeyCercoceb_4458;6320,457753
SapajouCapucinCe_d971;4274,464092
Orangutan_80bb;25757,33234
MacaqueRhesusMac_bdf8;3626,46875
Bonobo_brian;48408,37839
Gibbon_buddy;8681,290628
Gorilla_kinyani;58402,16907
MacaqueCrabierMa_8f9e;3548,03125
MacacaFascicularis_mf01;6779,875404
MacacaFascicularis_mf02;5491,875327
MacacaMulatta_mm01;8986,748929
MacacaFascicularis_32200;5635,625
MacacaFascicularis_32202;7692,375
MacacaFascicularis_32204;6636,5
MacacaFascicularis_32205;7288,749566
MacacaMulatta_32198;10818,87436
MacacaMulatta_32199;10766,75
MacacaMulatta_32201;10652,12373
MacacaMulatta_32203;10259,49939
Chimp_Abby_Yerkes;57450
Chimp_Amanda_Yerkes;50279
Chimp_Artemus_Yerkes;47895
Chimp_Arthur_Yerkes;58581
Chimp_Azalea_Yerkes;57047
Chimp_Barbara_Yerkes;59056
Chimp_Barney_Yerkes;61711
Chimp_Carl_Yerkes;39663
Chimp_David_Yerkes;40290
Human_51058;124865
Human_51060;134173
Human_51061;135201
Human_51062;137673
Human_51063;140324
Human_51114;159412
Human_51116;160387
Human_51118;166446
Human_51152;144018
Human_51153;160291