SpecimenID;Manual_full;Automated_full;Manual_crus;Automated_crus;WilsonReederName;English Name;Wikipedia Name;Hominoidea;Clade
Human_51058;124,865;105,88;35,159;32,53;Homo_sapiens;Human;Human;Ape;Hominoidea
Human_51060;134,173;119,27;45,26;38,36;Homo_sapiens;Human;Human;Ape;Hominoidea
Human_51061;135,201;115,56;42,192;38,69;Homo_sapiens;Human;Human;Ape;Hominoidea
Human_51062;137,673;119,1;37,857;35,37;Homo_sapiens;Human;Human;Ape;Hominoidea
Human_51063;140,324;121,43;41,743;39,49;Homo_sapiens;Human;Human;Ape;Hominoidea
Human_51114;159,412;141,74;46,388;44,68;Homo_sapiens;Human;Human;Ape;Hominoidea
Human_51116;160,387;139,36;48,269;45,57;Homo_sapiens;Human;Human;Ape;Hominoidea
Human_51118;166,446;143,06;53,463;52,28;Homo_sapiens;Human;Human;Ape;Hominoidea
Human_51152;144,018;118,31;41,233;40,84;Homo_sapiens;Human;Human;Ape;Hominoidea
Human_51153;160,291;134,79;47,813;44,32;Homo_sapiens;Human;Human;Ape;Hominoidea